location,MntCode,HabZ,SamSite,latitude,longitude,date,direction,meas_num,h_category,height,distance,stem_count,genu_spp,health,fruit,structure
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,NE,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,1,VLS,21,22,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,1,LS,93,369,8,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,1,MS,124,922,11,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,2,VLS,42,82,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,2,LS,63,415,11,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,SW,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,1,VLS,23,63,8,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,1,LS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,1,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,2,VLS,29,93,8,Betu gla,L,FA,E
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,2,LS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S1,AND,S,S1,60.205228,-135.132893,2022-07-22,WN,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,1,VLS,18,82,25,Empe nig,L,FP,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,1,LS,86,402,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,1,MS,126,660,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,1,TS,300,580,1,Abie las,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,2,VLS,17,145,50,Empe nig,L,FP,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,2,LS,94,424,1,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,2,MS,151,750,4,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,ES,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,1,VLS,19,92,15,Cass tet,L,FA,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,1,LS,33,257,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,1,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,2,VLS,16,94,30,Cass tet,L,FA,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,2,LS,58,287,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,NE,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,1,VLS,26,53,20,Cass tet,L,FA,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,1,LS,58,138,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,1,MS,145,100,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,2,VLS,15,90,50,Cass tet,L,FA,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,2,LS,51,141,5,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,2,MS,135,415,5,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,SW,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,1,VLS,25,6,30,Cass tet,L,FA,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,1,LS,80,305,6,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,1,MS,108,422,2,Sali spp,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,2,VLS,15,105,40,Cass tet,L,FA,M
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,2,LS,97,310,6,Betu gla,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,2,MS,120,453,6,Sali spp,L,FA,E
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S2,AND,S,S2,60.20769,-135.12992,2022-07-22,WN,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,1,VLS,21,355,2,Dasi fru,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,1,LS,94,89,1,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,1,MS,102,52,4,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,2,LS,81,168,11,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,2,MS,114,69,2,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,ES,2,VLS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,1,VLS,19,145,35,Vacc vit,L,FP,M
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,1,LS,97,79,8,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,1,MS,122,41,5,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,2,VLS,24,532,1,Dasi fru,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,2,LS,59,549,15,Dasi fru,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,2,MS,115,63,5,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,NE,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,1,VLS,40,429,8,Dasi fru,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,1,LS,55,139,16,Dasi fru,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,1,MS,107,39,5,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,2,VLS,48,501,9,Dasi fru,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,2,LS,76,207,13,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,2,MS,122,68,7,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,SW,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,1,VLS,19,122,1,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,1,LS,85,91,3,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,1,MS,101,55,3,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,2,LS,97,111,6,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,2,MS,111,409,3,Sali spp,L,FA,E
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-S3,AND,S,S3,60.199231,-135.1426,2022-07-22,WN,2,VLS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,1,VLS,39,131,4,Sali spp,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,1,LS,53,315,2,Abie las,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,1,MS,108,530,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,1,TS,525,999,1,Abie las,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,2,VLS,26,292,1,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,2,LS,75,362,1,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,2,MS,104,645,6,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,ES,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,1,VLS,15,144,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,1,LS,56,240,1,Abie las,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,1,TS,201,550,1,Abie las,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,1,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,2,VLS,21,155,5,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,2,LS,57,261,3,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,NE,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,1,VLS,23,96,5,Sali spp,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,1,LS,71,350,10,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,1,MS,100,340,7,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,2,VLS,26,173,11,Juni com,L,FP,M
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,2,LS,86,595,7,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,2,MS,134,572,6,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,SW,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,1,VLS,19,32,45,Cass tet,L,FA,M
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,1,LS,67,96,2,Abie las,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,1,MS,118,685,5,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,2,VLS,22,92,23,Sali spp,L,FA,M
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,2,LS,97,707,15,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,2,MS,126,880,8,Betu gla,L,FA,E
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D5,AND,S,S4,60.20534,-135.127496,2022-07-22,WN,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,1,VLS,17,119,10,Vacc uli,L,FP,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,1,LS,50,472,1,Pinu con,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,1,MS,154,144,5,Sali spp,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,2,VLS,16,196,6,Vacc uli,L,FP,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,2,MS,139,471,5,Sali spp,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,2,LS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,ES,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,1,VLS,16,114,7,Vacc uli,L,FP,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,1,LS,55,935,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,1,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,2,VLS,17,127,2,Abie las,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,2,LS,56,959,2,Betu gla,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,NE,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,1,VLS,33,114,2,Abie las,L,FA,M
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,1,LS,77,910,6,Betu gla,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,1,MS,166,879,8,Sali spp,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,1,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,1,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,2,VLS,16,156,14,Cass tet,L,FA,M
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,2,LS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,2,MS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,2,TR,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,SW,2,TS,NA,NA,NA,NA,NA,NA,NA
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,WN,1,VLS,18,155,7,Cass tet,L,FA,M
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,WN,1,LS,63,545,4,Betu gla,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,WN,1,MS,150,755,8,Sali spp,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,WN,1,TS,356,801,1,Abie las,L,FA,E
YTHEMP-YSH-248916-D7,AND,S,S5,60.202645,-135.127272,2022-07-22,WN,1,TR,NA,NA,NA,NA,NA,NA,NA
